apache@logging-log4j2_1.json,静态方法，长表达式
apache@zeppelin_1.json,get类型
apache@zookeeper_1.json,get
keycloak@keycloak_1.json,静态方法返回的一个对象，应该是一个映射，可能是一个单例？
killbill@killbill_1.json,特殊意义的常量（在测试中的特定值10L）
knowm@XChange_1.json,不是重构，赋值
languagetool-org@languagetool_1.json,不是重构，修改新变量
languagetool-org@languagetool_10.json,为什么要用一个变量换另一个变量呢？ 因为lambda表达式中的局部变量不可修改，但是我们需要使用cleanWord字符串（前面的代码被修改），所以需要额外使用一个新的变量做替代
laobie@StatusBarUtil_1.json,get类型
lbryio@lbry-android_1.json,get 多次 复杂行
leolin310148@ShortcutBadger_1.json,长表达式，get，判等
libgdx@libgdx_1.json,行长度? 逻辑上独立
logisim-evolution@logisim-evolution_1.json,类似结构，i==0 有点内容 isFirst
mapstruct@mapstruct_1.json,不是重构，赋值
meefik@linuxdeploy_1.json,get 方法
microg@GmsCore_1.json,get 所在行长度
micrometer-metrics@micrometer_1.json,int 单行语句长度
micronaut-projects@micronaut-core_1.json,不算重构，发生赋值
microservices-patterns@ftgo-application_1.json,get 方法
microsoft@malmo_1.json,包含计算 ， 单行长
mik3y@usb-serial-for-android_1.json,数学计算，int
mission-peace@interview_1.json,不是重构，中间变量修改
mmin18@RealtimeBlurView_1.json,不是重构，中间变量修改
mock-server@mockserver_1.json,行长度，行节点复杂度
mockito@mockito_1.json,不算重构，中间赋值
mongodb@mongo-java-driver_1.json,get方法加判空
mplushnikov@lombok-intellij-plugin_1.json,get 判空
mrniko@netty-socketio_1.json,静态方法，单行表达式，性能
mxn21@FlowingDrawer_1.json,get 参与数学运算
mybatis@generator_1.json,astIter.next() 本身副作用，不算重构？
mybatis@mybatis-3_1.json,get 单行/换行避免？
mybatis@spring-boot-starter_1.json,get 方法
mybatis@spring_1.json,判空，方法可能耗时 导致性能下降
mzule@ActivityRouter_1.json,单行文本 get
naman14@Timber_1.json,null 判定 get
natario1@CameraView_1.json,长表达式，所在行太长，get型
nathanmarz@storm_1.json,静态方法，反序列化，耗时，长度
nayuki@QR-Code-generator_1.json,get 涉及到计算
netty@netty_1.json,涉及到各种int类型的运算，有的所在行表达式很长
networknt@light-4j_1.json,静态方法，拿单例，单行过长
nextcloud@android_1.json,get ，行长度
nhaarman@ListViewAnimations_1.json,表达式 float，abs 判断关系
nico2sh@materialish-progress_1.json,不是重构，值被修改了
nicolasgramlich@AndEngine_1.json,避免在循环中反复访问成员变量this.mStride，提高了代码的运行效率
nisrulz@sensey_1.json,get 判断空值
north2016@T-MVP_1.json,长表达式，不然单行太长了
nostra13@Android-Universal-Image-Loader_1.json,长表达式
nutzam@nutz_1.json,在迭代中作为条件多次使用，多次使用
nytimes@Store_1.json,不是重构，赋值
objectbox@objectbox-java_1.json,一个局部变量listenerToFire来保护listener的可见性和线程安全性。listener是一个对象字段，可能会在不同线程中被访问和修改，使用局部变量listenerToFire来保存listener的副本，可以避免在回调方法中直接访问和修改listener时发生线程安全问题。
oblac@jodd_1.json,get 方法，多次使用
oblador@react-native-keychain_1.json,get 相似结构
obsidiandynamics@kafdrop_1.json,get 
ongakuer@CircleIndicator_1.json,get 类型
openaphid@android-flip_1.json,get 方法
openhab@openhab1-addons_1.json,不算是重构，新变量被修改
openzipkin@zipkin_1.json,监听一个返回的方法的值，多次被拿来做断言比较
oracle@helidon_1.json,一个长lambda表达式，单行也很长
oracle@opengrok_1.json,utf8ToString() tostring字眼
oracle@visualvm_1.json,有个表达式的单行很长，而且是get（XXX），涉及到计算量过程
orhanobut@dialogplus_1.json,感觉不大明显，单行有点长了？
orhanobut@hawk_1.json,单行长度，表达式本身长度
oshi@oshi_1.json,某一行出现的特别长
osmdroid@osmdroid_1.json,含有get，tostring
ozodrukh@CircularReveal_1.json,根据别的方法的类似修改的相似度匹配，或者说我们对get函数会考虑一个提取(返回的是对象)
pardom-zz@ActiveAndroid_1.json,不是重构，新变量发生修改
path@android-priority-jobqueue_1.json,不是重构，新变量发生修改
pedant@sweet-alert-dialog_1.json,不是重构，okButton也是new完之后各种set，最后被使用
pedrovgs@Algorithms_1.json,不是重构，中间修改
pedrovgs@DraggablePanel_1.json,不是重构，因为new 了一个对象，然后做了一个建造者模式的过程，完成后使用这个变量，我们对他inline是没有意义的
pedrovgs@EffectiveAndroidUI_1.json,看不懂，一行提取，一行使用，提取以后反而变长
permissions-dispatcher@PermissionsDispatcher_2.json,单行长文本，但是其实有时候可以手动换行解决
perwendel@spark_2.json,多次使用，字符串
phishman3579@java-algorithms-implementation_1.json,类似的修改，附近有很多类似的结构
pilgr@Paper_1.json,新变量发生修改，不是重构
,
